pays,code_pays,annee,population
"Chine, Taiwan Province de",214,2013,23330000
"Chine, continentale",41,2012,1377065000
"Chine, continentale",41,2013,1385567000
Chypre,50,2012,1129000
Chypre,50,2013,1141000
Colombie,44,2012,47704000
Colombie,44,2013,48321000
Congo,46,2012,4337000
Congo,46,2013,4448000
Costa Rica,48,2012,4805000
Costa Rica,48,2013,4872000
Croatie,98,2012,4307000
Croatie,98,2013,4290000
Cuba,49,2012,11271000
Cuba,49,2013,11266000
Côte d'Ivoire,107,2012,19840000
Côte d'Ivoire,107,2013,20316000
Danemark,54,2012,5598000
Danemark,54,2013,5619000
Djibouti,72,2012,860000
Djibouti,72,2013,873000
Dominique,55,2012,72000
Dominique,55,2013,72000
El Salvador,60,2012,6297000
El Salvador,60,2013,6340000
Espagne,203,2012,46755000
Espagne,203,2013,46927000
Estonie,63,2012,1291000
Estonie,63,2013,1287000
Eswatini,209,2012,1231000
Eswatini,209,2013,1250000
Fidji,66,2012,875000
Fidji,66,2013,881000
Finlande,67,2012,5408000
Finlande,67,2013,5426000
France,68,2012,63937000
France,68,2013,64291000
Fédération de Russie,185,2012,143170000
Fédération de Russie,185,2013,142834000
Gabon,74,2012,1633000
Gabon,74,2013,1672000
Gambie,75,2012,1791000
Gambie,75,2013,1849000
Ghana,81,2012,25366000
Ghana,81,2013,25905000
Grenade,86,2012,105000
Grenade,86,2013,106000
Grèce,84,2012,11125000
Grèce,84,2013,11128000
Guatemala,89,2012,15083000
Guatemala,89,2013,15468000
Guinée,90,2012,11451000
Guinée,90,2013,11745000
Guinée-Bissau,175,2012,1664000
Guinée-Bissau,175,2013,1704000
Guyana,91,2012,795000
Guyana,91,2013,800000
Géorgie,73,2012,4358000
Géorgie,73,2013,4341000
Haïti,93,2012,10174000
Haïti,93,2013,10317000
Honduras,95,2012,7936000
Honduras,95,2013,8096000
Hongrie,97,2012,9976000
Hongrie,97,2013,9955000
Inde,100,2012,1236687000
Inde,100,2013,1252140000
Indonésie,101,2012,246864000
Indonésie,101,2013,249866000
Iran (République islamique d'),102,2012,76424000
Iran (République islamique d'),102,2013,77447000
Iraq,103,2012,32778000
Iraq,103,2013,33765000
Irlande,104,2012,4576000
Irlande,104,2013,4627000
Islande,99,2012,326000
Islande,99,2013,330000
Israël,105,2012,7644000
Israël,105,2013,7733000
Italie,106,2012,60885000
Italie,106,2013,60990000
Jamaïque,109,2012,2769000
Jamaïque,109,2013,2784000
Japon,110,2012,127250000
Japon,110,2013,127144000
Jordanie,112,2012,7009000
Jordanie,112,2013,7274000
Kazakhstan,108,2012,16271000
Kazakhstan,108,2013,16441000
Kenya,114,2012,43178000
Kenya,114,2013,44354000
Kirghizistan,113,2012,5474000
Kirghizistan,113,2013,5548000
Kiribati,83,2012,101000
Kiribati,83,2013,102000
Koweït,118,2012,3250000
Koweït,118,2013,3369000
Lesotho,122,2012,2052000
Lesotho,122,2013,2074000
Lettonie,119,2012,2060000
Lettonie,119,2013,2050000
Liban,121,2012,4647000
Liban,121,2013,4822000
Libéria,123,2012,4190000
Libéria,123,2013,4294000
Lituanie,126,2012,3028000
Lituanie,126,2013,3017000
Luxembourg,256,2012,524000
Luxembourg,256,2013,530000
Madagascar,129,2012,22294000
Madagascar,129,2013,22925000
Malaisie,131,2012,29240000
Malaisie,131,2013,29717000
Malawi,130,2012,15906000
Malawi,130,2013,16363000
Maldives,132,2012,338000
Maldives,132,2013,345000
Mali,133,2012,14854000
Mali,133,2013,15302000
Malte,134,2012,428000
Malte,134,2013,429000
Maroc,143,2012,32521000
Maroc,143,2013,33008000
Maurice,137,2012,1240000
Maurice,137,2013,1244000
Mauritanie,136,2012,3796000
Mauritanie,136,2013,3890000
Mexique,138,2012,120847000
Mexique,138,2013,122332000
Mongolie,141,2012,2796000
Mongolie,141,2013,2839000
Monténégro,273,2012,621000
Monténégro,273,2013,621000
Mozambique,144,2012,25203000
Mozambique,144,2013,25834000
Myanmar,28,2012,52797000
Myanmar,28,2013,53259000
Namibie,147,2012,2259000
Namibie,147,2013,2303000
Nicaragua,157,2012,5992000
Nicaragua,157,2013,6080000
Niger,158,2012,17157000
Niger,158,2013,17831000
Nigéria,159,2012,168834000
Nigéria,159,2013,173615000
Norvège,162,2012,4994000
Norvège,162,2013,5043000
Nouvelle-Calédonie,153,2012,253000
Nouvelle-Calédonie,153,2013,256000
Nouvelle-Zélande,156,2012,4460000
Nouvelle-Zélande,156,2013,4506000
Népal,149,2012,27474000
Népal,149,2013,27797000
Oman,221,2012,3314000
Oman,221,2013,3632000
Ouganda,226,2012,36346000
Ouganda,226,2013,37579000
Ouzbékistan,235,2012,28541000
Ouzbékistan,235,2013,28934000
Pakistan,165,2012,179160000
Pakistan,165,2013,182143000
Panama,166,2012,3802000
Panama,166,2013,3864000
Paraguay,169,2012,6687000
Paraguay,169,2013,6802000
Pays-Bas,150,2012,16714000
Pays-Bas,150,2013,16759000
Philippines,171,2012,96707000
Philippines,171,2013,98394000
Pologne,173,2012,38211000
Pologne,173,2013,38217000
Polynésie française,70,2012,274000
Polynésie française,70,2013,277000
Portugal,174,2012,10604000
Portugal,174,2013,10608000
Pérou,170,2012,29988000
Pérou,170,2013,30376000
Roumanie,183,2012,21755000
Roumanie,183,2013,21699000
Royaume-Uni,229,2012,63030000
Royaume-Uni,229,2013,63384000
Rwanda,184,2012,11458000
Rwanda,184,2013,11777000
République centrafricaine,37,2012,4525000
République centrafricaine,37,2013,4616000
République de Corée,117,2012,49003000
République de Corée,117,2013,49263000
République de Moldova,146,2012,3514000
République de Moldova,146,2013,3487000
République dominicaine,56,2012,10277000
République dominicaine,56,2013,10404000
République démocratique populaire lao,120,2012,6646000
République démocratique populaire lao,120,2013,6770000
République populaire démocratique de Corée,116,2012,24763000
République populaire démocratique de Corée,116,2013,24895000
République-Unie de Tanzanie,215,2012,47783000
République-Unie de Tanzanie,215,2013,49253000
Saint-Kitts-et-Nevis,188,2012,54000
Saint-Kitts-et-Nevis,188,2013,54000
Saint-Vincent-et-les Grenadines,191,2012,109000
Saint-Vincent-et-les Grenadines,191,2013,109000
Sainte-Lucie,189,2012,181000
Sainte-Lucie,189,2013,182000
Samoa,244,2012,189000
Samoa,244,2013,190000
Sao Tomé-et-Principe,193,2012,188000
Sao Tomé-et-Principe,193,2013,193000
Serbie,272,2012,9553000
Serbie,272,2013,9511000
Sierra Leone,197,2012,5979000
Sierra Leone,197,2013,6092000
Slovaquie,199,2012,5446000
Slovaquie,199,2013,5450000
Slovénie,198,2012,2068000
Slovénie,198,2013,2072000
Soudan,276,2012,37195000
Soudan,276,2013,37964000
Sri Lanka,38,2012,21098000
Sri Lanka,38,2013,21273000
Suisse,211,2012,7997000
Suisse,211,2013,8078000
Suriname,207,2012,535000
Suriname,207,2013,539000
Suède,210,2012,9511000
Suède,210,2013,9571000
Sénégal,195,2012,13726000
Sénégal,195,2013,14133000
Tadjikistan,208,2012,8009000
Tadjikistan,208,2013,8208000
Tchad,39,2012,12448000
Tchad,39,2013,12825000
Tchéquie (la),167,2012,10660000
Tchéquie (la),167,2013,10702000
Thaïlande,216,2012,66785000
Thaïlande,216,2013,67011000
Timor-Leste,176,2012,1114000
Timor-Leste,176,2013,1133000
Togo,217,2012,6643000
Togo,217,2013,6817000
Trinité-et-Tobago,220,2012,1337000
Trinité-et-Tobago,220,2013,1341000
Tunisie,222,2012,10875000
Tunisie,222,2013,10997000
Turkménistan,213,2012,5173000
Turkménistan,213,2013,5240000
Turquie,223,2012,73997000
Turquie,223,2013,74933000
Ukraine,230,2012,45530000
Ukraine,230,2013,45239000
Uruguay,234,2012,3395000
Uruguay,234,2013,3407000
Vanuatu,155,2012,247000
Vanuatu,155,2013,253000
Venezuela (République bolivarienne du),236,2012,29955000
Venezuela (République bolivarienne du),236,2013,30405000
Viet Nam,237,2012,90796000
Viet Nam,237,2013,91680000
Yémen,249,2012,23852000
Yémen,249,2013,24407000
Zambie,251,2012,14075000
Zambie,251,2013,14539000
Zimbabwe,181,2012,13724000
Zimbabwe,181,2013,14150000
l'ex-République yougoslave de Macédoine,154,2012,2106000
l'ex-République yougoslave de Macédoine,154,2013,2107000
Égypte,59,2012,80722000
Égypte,59,2013,82056000
Émirats arabes unis,225,2012,9206000
Émirats arabes unis,225,2013,9346000
Équateur,58,2012,15492000
Équateur,58,2013,15738000
États-Unis d'Amérique,231,2012,317505000
États-Unis d'Amérique,231,2013,320051000
Éthiopie,238,2012,91729000
Éthiopie,238,2013,94101000
Îles Salomon,25,2012,550000
Îles Salomon,25,2013,561000
